120,4,setosa,versicolor,virginica
4.9077,3.1029,1.4402,0.25508,0
5.7001,3.8001,1.6989,0.30272,0
4.401,3.2004,1.2919,0.22108,0
5.3935,3.3975,1.5508,0.26825,0
5.0939,3.6977,1.5477,0.27627,0
5.7958,3.9984,1.233,0.11451,0
5.3964,3.8986,1.7281,0.32715,0
5.692,4.397,1.5621,0.23916,0
5.3898,3.8961,1.3798,0.19314,0
5.2024,3.5009,1.4811,0.24888,0
5.0981,3.7993,1.5149,0.26148,0
4.7977,2.9991,1.4178,0.25382,0
5.1004,3.8002,1.8967,0.40865,0
4.7054,3.202,1.5581,0.30871,0
4.805,3.4019,1.561,0.30117,0
4.5953,3.5982,1.0365,0.10551,0
5.0013,3.3005,1.3895,0.22721,0
4.9981,3.1993,1.2147,0.16183,0
4.4012,3.0005,1.2906,0.22433,0
5.0029,3.4011,1.4772,0.25909,0
4.7004,3.2002,1.2968,0.20821,0
5.4985,3.4994,1.312,0.169,0
4.9077,3.1029,1.4402,0.25508,0
5.4018,3.7007,1.4857,0.23705,0
4.9077,3.1029,1.4402,0.25508,0
4.9952,3.4982,1.3372,0.20363,0
5.0967,3.4987,1.4259,0.23284,0
4.604,3.1015,1.4687,0.28112,0
4.5978,3.3992,1.417,0.25593,0
4.6023,3.2009,1.3823,0.246,0
5.104,3.8015,1.5684,0.28181,0
4.9018,3.0007,1.386,0.23636,0
4.4973,2.299,1.3214,0.24455,0
4.996,3.3985,1.6313,0.31892,0
5.2008,3.4003,1.3934,0.217,0
5.302,3.7008,1.484,0.24135,0
5.0011,3.6004,1.3914,0.22234,0
4.8052,3.102,1.5591,0.30604,0
5.0049,3.0018,1.5618,0.29907,0
4.9873,3.4952,1.6989,0.34364,0
4.4029,2.9011,1.3771,0.25945,0
4.8063,3.0024,1.3508,0.22749,0
4.9992,2.3021,3.2935,1.02,1
6.7014,3.0964,4.4113,1.3651,1
5.2076,2.6799,3.9629,1.2053,1
6.8989,3.1028,4.8912,1.5272,1
6.3062,3.2835,4.7516,1.4403,1
5.7983,2.6045,3.9859,1.2435,1
5.4051,2.9864,4.5425,1.3685,1
6.7047,2.9875,5.039,1.5793,1
6.2955,2.3119,4.3629,1.4149,1
5.1067,2.4823,3.0554,0.92864,1
6.4045,3.1881,4.5372,1.3848,1
6.6011,2.997,4.4094,1.3709,1
6.1021,2.7944,4.0175,1.2458,1
6.9979,3.2055,4.6829,1.4531,1
4.9959,2.0109,3.4658,1.1057,1
5.5959,2.511,3.8656,1.2064,1
6.2011,2.1969,4.5095,1.4705,1
6.595,2.9132,4.5588,1.4276,1
5.4968,2.4086,3.7731,1.1833,1
5.7008,2.898,4.2063,1.2805,1
6.0039,2.8895,4.5327,1.3986,1
6.0981,2.9051,4.684,1.4495,1
6.5018,2.7953,4.6148,1.4542,1
5.6002,2.6995,4.2014,1.2956,1
6.7956,2.8116,4.7638,1.5121,1
5.697,2.8079,4.4753,1.3766,1
6,2.7001,5.0996,1.6012,1
6.0908,2.8246,4.6231,1.4379,1
5.9122,3.1675,4.9016,1.4855,1
4.8997,2.4008,3.2976,1.0073,1
5.7906,2.7251,4.0217,1.2423,1
5.6076,2.8797,3.6635,1.1034,1
5.7015,2.7959,4.1126,1.2609,1
5.4942,2.6154,4.3519,1.3488,1
5.6976,3.0063,4.1804,1.2608,1
5.4944,2.4149,3.6535,1.1439,1
6.403,2.8076,5.6489,2.0452,2
4.9011,2.5027,4.5177,1.644,2
6.9071,3.118,5.2157,1.9335,2
7.6956,3.7888,6.6282,2.4276,2
6.8026,3.2066,5.9425,2.1652,2
7.5951,2.9876,6.5204,2.3523,2
6.4061,3.2154,5.399,1.9864,2
6.7002,3.3004,5.7025,2.0921,2
6.4012,2.8031,5.6202,2.0359,2
6.0892,2.5727,5.4243,1.9567,2
7.1909,2.9769,5.6517,2.0697,2
5.8987,2.9968,5.0795,1.865,2
6.8015,3.0038,5.5242,2.0232,2
6.2005,2.8012,4.8077,1.7755,2
6.9037,3.2093,5.7601,2.1097,2
6.5019,3.2048,5.1306,1.903,2
5.8095,2.8241,5.2546,1.9101,2
7.8937,3.784,6.2969,2.3266,2
5.8008,2.702,5.1129,1.8591,2
6.7067,3.017,5.3092,1.9542,2
5.9947,2.1865,4.9133,1.7746,2
7.6973,2.5931,6.8556,2.4407,2
7.1931,3.1826,5.8881,2.1545,2
6.0004,3.0009,4.806,1.7808,2
7.3946,2.7863,6.0122,2.1781,2
5.8008,2.702,5.1129,1.8591,2
6.2054,3.4137,5.4882,2.0204,2
6.7062,3.1156,5.7002,2.0824,2
6.3014,2.5034,5.022,1.8304,2
6.3963,3.0905,5.4392,1.9928,2
7.2917,2.8789,6.1647,2.2288,2
7.2045,3.6115,6.1739,2.266,2
6.4963,2.9907,5.44,1.9901,2
7.7014,3.0035,6.1223,2.2294,2
6.0998,2.9994,4.8965,1.8112,2
6.3995,2.6987,5.2915,1.927,2
6.306,3.4153,5.6982,2.0887,2
6.5015,3.0038,5.2244,1.9228,2
6.5017,3.0043,5.8274,2.1131,2
7.6929,2.7821,6.585,2.3645,2
6.3,2.6999,4.8996,1.8014,2
6.3057,3.3143,6.0921,2.2081,2
