120,4,setosa,versicolor,virginica
4.9157,3.1207,1.3753,0.22933,0
5.707,3.8152,1.6437,0.28079,0
4.3966,3.1905,1.3278,0.23534,0
5.399,3.4098,1.5062,0.25054,0
5.0949,3.7,1.5393,0.27293,0
5.7424,3.88,1.664,0.28565,0
5.4082,3.9247,1.6333,0.2895,0
5.6666,4.3406,1.7672,0.32062,0
5.3618,3.8342,1.6054,0.28271,0
5.1998,3.4951,1.5023,0.25727,0
5.0925,3.7868,1.5603,0.2795,0
4.8077,3.0212,1.3375,0.22195,0
5.1385,3.8844,1.5899,0.28683,0
4.727,3.25,1.3835,0.23938,0
4.82,3.435,1.4403,0.25326,0
4.5477,3.4928,1.4205,0.25801,0
4.9967,3.2902,1.4269,0.24205,0
4.9764,3.1511,1.3903,0.23154,0
4.4022,3.0027,1.2825,0.22112,0
5.0055,3.4068,1.4565,0.25086,0
4.6923,3.1821,1.3625,0.23429,0
5.4723,3.4414,1.5231,0.25283,0
4.9157,3.1207,1.3753,0.22933,0
5.3913,3.6773,1.5707,0.2708,0
4.9157,3.1207,1.3753,0.22933,0
4.9792,3.4626,1.4669,0.25512,0
5.0893,3.4824,1.4854,0.25647,0
4.6197,3.1362,1.3423,0.23092,0
4.5993,3.4025,1.4049,0.25111,0
4.6053,3.2075,1.3579,0.23634,0
5.1044,3.8023,1.5655,0.28066,0
4.9066,3.0113,1.3474,0.22106,0
4.5201,2.3495,1.1374,0.17151,0
5.0164,3.4436,1.4669,0.25363,0
5.191,3.3786,1.4727,0.24846,0
5.2927,3.6802,1.5591,0.27115,0
4.9883,3.572,1.4948,0.26339,0
4.8284,3.1532,1.3724,0.23192,0
5.0283,3.0537,1.373,0.2241,0
5.0129,3.5518,1.4929,0.26183,0
4.4166,2.9314,1.2669,0.2157,0
4.8084,3.007,1.3341,0.22087,0
4.9992,2.3021,3.2935,1.02,1
6.7014,3.0964,4.4113,1.3651,1
5.2076,2.6799,3.9629,1.2053,1
6.8989,3.1028,4.8912,1.5272,1
6.3062,3.2835,4.7516,1.4403,1
5.7983,2.6045,3.9859,1.2435,1
5.4051,2.9864,4.5425,1.3685,1
6.7047,2.9875,5.039,1.5793,1
6.2955,2.3119,4.3629,1.4149,1
5.1067,2.4823,3.0554,0.92864,1
6.4045,3.1881,4.5372,1.3848,1
6.6011,2.997,4.4094,1.3709,1
6.1021,2.7944,4.0175,1.2458,1
6.9979,3.2055,4.6829,1.4531,1
4.9959,2.0109,3.4658,1.1057,1
5.5959,2.511,3.8656,1.2064,1
6.2011,2.1969,4.5095,1.4705,1
6.595,2.9132,4.5588,1.4276,1
5.4968,2.4086,3.7731,1.1833,1
5.7008,2.898,4.2063,1.2805,1
6.0039,2.8895,4.5327,1.3986,1
6.0981,2.9051,4.684,1.4495,1
6.5018,2.7953,4.6148,1.4542,1
5.6002,2.6995,4.2014,1.2956,1
6.7956,2.8116,4.7638,1.5121,1
5.697,2.8079,4.4753,1.3766,1
6,2.7001,5.0996,1.6012,1
6.0908,2.8246,4.6231,1.4379,1
5.9122,3.1675,4.9016,1.4855,1
4.8997,2.4008,3.2976,1.0073,1
5.7906,2.7251,4.0217,1.2423,1
5.6076,2.8797,3.6635,1.1034,1
5.7015,2.7959,4.1126,1.2609,1
5.4942,2.6154,4.3519,1.3488,1
5.6976,3.0063,4.1804,1.2608,1
5.4944,2.4149,3.6535,1.1439,1
6.403,2.8076,5.6489,2.0452,2
4.9011,2.5027,4.5177,1.644,2
6.9071,3.118,5.2157,1.9335,2
7.6956,3.7888,6.6282,2.4276,2
6.8026,3.2066,5.9425,2.1652,2
7.5951,2.9876,6.5204,2.3523,2
6.4061,3.2154,5.399,1.9864,2
6.7002,3.3004,5.7025,2.0921,2
6.4012,2.8031,5.6202,2.0359,2
6.0892,2.5727,5.4243,1.9567,2
7.1909,2.9769,5.6517,2.0697,2
5.8987,2.9968,5.0795,1.865,2
6.8015,3.0038,5.5242,2.0232,2
6.2005,2.8012,4.8077,1.7755,2
6.9037,3.2093,5.7601,2.1097,2
6.5019,3.2048,5.1306,1.903,2
5.8095,2.8241,5.2546,1.9101,2
7.8937,3.784,6.2969,2.3266,2
5.8008,2.702,5.1129,1.8591,2
6.7067,3.017,5.3092,1.9542,2
5.9947,2.1865,4.9133,1.7746,2
7.6973,2.5931,6.8556,2.4407,2
7.1931,3.1826,5.8881,2.1545,2
6.0004,3.0009,4.806,1.7808,2
7.3946,2.7863,6.0122,2.1781,2
5.8008,2.702,5.1129,1.8591,2
6.2054,3.4137,5.4882,2.0204,2
6.7062,3.1156,5.7002,2.0824,2
6.3014,2.5034,5.022,1.8304,2
6.3963,3.0905,5.4392,1.9928,2
7.2917,2.8789,6.1647,2.2288,2
7.2045,3.6115,6.1739,2.266,2
6.4963,2.9907,5.44,1.9901,2
7.7014,3.0035,6.1223,2.2294,2
6.0998,2.9994,4.8965,1.8112,2
6.3995,2.6987,5.2915,1.927,2
6.306,3.4153,5.6982,2.0887,2
6.5015,3.0038,5.2244,1.9228,2
6.5017,3.0043,5.8274,2.1131,2
7.6929,2.7821,6.585,2.3645,2
6.3,2.6999,4.8996,1.8014,2
6.3057,3.3143,6.0921,2.2081,2
