SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.6,3.1,1.5,0.2,0
5,3.6,1.4,0.2,0
5,3.4,1.5,0.2,0
5.4,3.7,1.5,0.2,0
4.3,3,1.1,0.1,0
5.7,4.4,1.5,0.4,0
5.4,3.9,1.3,0.4,0
5.1,3.8,1.5,0.3,0
5.4,3.4,1.7,0.2,0
4.6,3.6,1,0.2,0
5.1,3.3,1.7,0.5,0
5,3,1.6,0.2,0
5.2,3.5,1.5,0.2,0
5.5,4.2,1.4,0.2,0
4.9,3.1,1.5,0.1,0
5,3.2,1.2,0.2,0
4.9,3.1,1.5,0.1,0
4.4,3,1.3,0.2,0
5.1,3.4,1.5,0.2,0
5,3.5,1.3,0.3,0
4.4,3.2,1.3,0.2,0
4.8,3,1.4,0.3,0
5.1,3.8,1.6,0.2,0
4.6,3.2,1.4,0.2,0
5.3,3.7,1.5,0.2,0
5.5,2.3,4,1.3,1
5.7,2.8,4.5,1.3,1
6.3,3.3,4.7,1.6,1
4.9,2.4,3.3,1,1
6.6,2.9,4.6,1.3,1
5.2,2.7,3.9,1.4,1
5.9,3,4.2,1.5,1
6,2.2,4,1,1
5.6,3,4.5,1.5,1
5.8,2.7,4.1,1,1
6.1,2.8,4,1.3,1
6.6,3,4.4,1.4,1
6.8,2.8,4.8,1.4,1
6.7,3,5,1.7,1
5.7,2.6,3.5,1,1
5.5,2.4,3.7,1,1
6,3.4,4.5,1.6,1
5.6,3,4.1,1.3,1
5.5,2.6,4.4,1.2,1
5.7,2.9,4.2,1.3,1
6.2,2.9,4.3,1.3,1
6.3,3.3,6,2.5,2
6.5,3,5.8,2.2,2
4.9,2.5,4.5,1.7,2
7.2,3.6,6.1,2.5,2
6.4,2.7,5.3,1.9,2
6.8,3,5.5,2.1,2
5.8,2.8,5.1,2.4,2
7.7,3.8,6.7,2.2,2
7.7,2.6,6.9,2.3,2
6,2.2,5,1.5,2
6.9,3.2,5.7,2.3,2
5.6,2.8,4.9,2,2
6.1,3,4.9,1.8,2
6.4,2.8,5.6,2.1,2
7.9,3.8,6.4,2,2
6.4,2.8,5.6,2.2,2
6.3,2.8,5.1,1.5,2
7.7,3,6.1,2.3,2
6.4,3.1,5.5,1.8,2
6.7,3.1,5.6,2.4,2
6.9,3.1,5.1,2.3,2
6.8,3.2,5.9,2.3,2
6.7,3.3,5.7,2.5,2
6.7,3,5.2,2.3,2
6.3,2.5,5,1.9,2
6.2,3.4,5.4,2.3,2
5.8,2.6,144.337987476392,0,1
126.592842515053,0,1.2,0.2,0
593.560618326313,0,4.2,1.3,1
225.690253702244,3.2,4.5,809.211012773034,1
5.7,3,1916.14131724684,0,1
0,0,5.5,1.8,2
1717.43780149174,3.4,913.558351163016,0.3,0
7.3,2.9,0,585.43061550354,2
132.23157271726,3,1.4,2251.1310237358,0
0,0,4.7,1.2,1
0,2.6,5.6,1365.93423431839,2
5.8,0,1029.79639873353,1.9,2
5.7,0,0,0.3,0
0,2.9,0,1.3,1
0,650.856010972976,1.3,0.2,0
998.118788828127,2.8,691.037254221967,1.5,1
5.7,0,4.1,30.6466604210646,1
6.5,3,477.688291253168,1096.47241004039,2
