SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.1,3.5,1.4,0.2,0
5,3.6,1.4,0.2,0
4.6,3.4,1.4,0.3,0
4.4,2.9,1.4,0.2,0
4.9,3.1,1.5,0.1,0
4.8,3,1.4,0.1,0
4.3,3,1.1,0.1,0
5.8,4,1.2,0.2,0
5.7,4.4,1.5,0.4,0
5.4,3.9,1.3,0.4,0
5.7,3.8,1.7,0.3,0
5.1,3.7,1.5,0.4,0
4.6,3.6,1,0.2,0
5,3.4,1.6,0.4,0
5.2,3.5,1.5,0.2,0
5.2,3.4,1.4,0.2,0
4.8,3.1,1.6,0.2,0
5.5,4.2,1.4,0.2,0
5,3.2,1.2,0.2,0
5.5,3.5,1.3,0.2,0
4.9,3.1,1.5,0.1,0
5.1,3.4,1.5,0.2,0
5,3.5,1.3,0.3,0
4.4,3.2,1.3,0.2,0
5,3.5,1.6,0.6,0
4.6,3.2,1.4,0.2,0
5,3.3,1.4,0.2,0
7,3.2,4.7,1.4,1
6.4,3.2,4.5,1.5,1
5.5,2.3,4,1.3,1
5.7,2.8,4.5,1.3,1
4.9,2.4,3.3,1,1
6.6,2.9,4.6,1.3,1
5.2,2.7,3.9,1.4,1
5.9,3,4.2,1.5,1
6,2.2,4,1,1
6.1,2.9,4.7,1.4,1
5.6,2.9,3.6,1.3,1
6.7,3.1,4.4,1.4,1
5.9,3.2,4.8,1.8,1
6.1,2.8,4,1.3,1
6.3,2.5,4.9,1.5,1
6.6,3,4.4,1.4,1
6.8,2.8,4.8,1.4,1
6.7,3,5,1.7,1
6,2.9,4.5,1.5,1
6.7,3.1,4.7,1.5,1
6.3,2.3,4.4,1.3,1
5.5,2.6,4.4,1.2,1
6.1,3,4.6,1.4,1
5.8,2.6,4,1.2,1
5.6,2.7,4.2,1.3,1
5.7,3,4.2,1.2,1
6.2,2.9,4.3,1.3,1
6.3,3.3,6,2.5,2
7.1,3,5.9,2.1,2
7.6,3,6.6,2.1,2
4.9,2.5,4.5,1.7,2
6.5,3.2,5.1,2,2
6.4,2.7,5.3,1.9,2
6.8,3,5.5,2.1,2
5.8,2.8,5.1,2.4,2
6.5,3,5.5,1.8,2
6.9,3.2,5.7,2.3,2
5.6,2.8,4.9,2,2
7.7,2.8,6.7,2,2
6.7,3.3,5.7,2.1,2
7.2,3.2,6,1.8,2
6.2,2.8,4.8,1.8,2
6.1,3,4.9,1.8,2
6.4,2.8,5.6,2.1,2
7.2,3,5.8,1.6,2
7.4,2.8,6.1,1.9,2
7.9,3.8,6.4,2,2
6.1,2.6,5.6,1.4,2
7.7,3,6.1,2.3,2
6.3,3.4,5.6,2.4,2
6.4,3.1,5.5,1.8,2
6,3,4.8,1.8,2
6.9,3.1,5.4,2.1,2
6.7,3.1,5.6,2.4,2
5.8,2.7,5.1,1.9,2
6.8,3.2,5.9,2.3,2
6.7,3,5.2,2.3,2
0,3,4.1,0,1
6.3,53.109087007598,5.1,0,2
6.4,0,5.3,0,2
5.1,293.02647961175,0,0.3,0
0,2.7,5.1,208.782165205574,2
4.5,0,80.3988501397579,0.3,0
6.4,2.8,583.461655568323,134.429638750546,2
500.816777678465,0,5.1,2.3,2
7.7,0,0,2.3,2
6.2,283.972003406294,5.4,0,2
340.405253893053,2.7,643.405662307188,1,1
71.6182606196652,0,5,1.9,2
5.4,3.4,375.474292074007,3.39933375288539,0
6.4,2.9,394.031704524336,0,1
5.5,2.5,0,78.0806570581543,1
5.1,3.3,0,0,0
0,3.8,442.565039507209,0.4,0
5.7,0,5,165.629703324478,2
5.1,3.8,0,0,0
5.4,112.681948154794,1.7,0,0
615.059393032413,3,0,1.5,1
