SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.1,3.5,1.4,0.2,0
4.9,3,1.4,0.2,0
4.7,3.2,1.3,0.2,0
4.6,3.1,1.5,0.2,0
5,3.6,1.4,0.2,0
5,3.4,1.5,0.2,0
4.8,3.4,1.6,0.2,0
4.8,3,1.4,0.1,0
5.8,4,1.2,0.2,0
5.7,4.4,1.5,0.4,0
5.7,3.8,1.7,0.3,0
5.1,3.8,1.5,0.3,0
5.4,3.4,1.7,0.2,0
5.2,3.4,1.4,0.2,0
4.8,3.1,1.6,0.2,0
5.4,3.4,1.5,0.4,0
5.2,4.1,1.5,0.1,0
4.9,3.1,1.5,0.1,0
5,3.5,1.6,0.6,0
4.8,3,1.4,0.3,0
6.4,3.2,4.5,1.5,1
6.9,3.1,4.9,1.5,1
5.5,2.3,4,1.3,1
5.2,2.7,3.9,1.4,1
5,2,3.5,1,1
5.9,3,4.2,1.5,1
6,2.2,4,1,1
5.6,2.9,3.6,1.3,1
6.7,3.1,4.4,1.4,1
6.2,2.2,4.5,1.5,1
5.6,2.5,3.9,1.1,1
6.3,2.5,4.9,1.5,1
6.4,2.9,4.3,1.3,1
6.6,3,4.4,1.4,1
6.8,2.8,4.8,1.4,1
6.7,3,5,1.7,1
5.7,2.6,3.5,1,1
5.5,2.4,3.7,1,1
5.8,2.7,3.9,1.2,1
5.4,3,4.5,1.5,1
6,3.4,4.5,1.6,1
6.7,3.1,4.7,1.5,1
6.3,2.3,4.4,1.3,1
6.1,3,4.6,1.4,1
5.8,2.6,4,1.2,1
5,2.3,3.3,1,1
5.6,2.7,4.2,1.3,1
5.7,3,4.2,1.2,1
6.2,2.9,4.3,1.3,1
5.1,2.5,3,1.1,1
5.7,2.8,4.1,1.3,1
5.8,2.7,5.1,1.9,2
7.1,3,5.9,2.1,2
6.3,2.9,5.6,1.8,2
4.9,2.5,4.5,1.7,2
7.3,2.9,6.3,1.8,2
6.5,3.2,5.1,2,2
6.4,2.7,5.3,1.9,2
5.7,2.5,5,2,2
5.8,2.8,5.1,2.4,2
7.7,2.6,6.9,2.3,2
6,2.2,5,1.5,2
6.9,3.2,5.7,2.3,2
7.7,2.8,6.7,2,2
7.2,3.2,6,1.8,2
6.2,2.8,4.8,1.8,2
7.2,3,5.8,1.6,2
6.4,2.8,5.6,2.2,2
6.1,2.6,5.6,1.4,2
6.4,3.1,5.5,1.8,2
6,3,4.8,1.8,2
6.7,3.1,5.6,2.4,2
6.9,3.1,5.1,2.3,2
5.8,2.7,5.1,1.9,2
6.7,3.3,5.7,2.5,2
6.7,3,5.2,2.3,2
6.2,3.4,5.4,2.3,2
5.9,3,5.1,1.8,2
5.2,770.026854105447,1746.17317966905,0.2,0
0,3,6.6,834.870575778025,2
511.532027944892,3.2,5.9,0,2
293.121494673668,6.92611456308685,1.5,0.2,0
5.4,613.74605323831,0,0.4,0
5.9,3.2,0,0,1
1517.18239519276,2.9,4.6,165.310316907443,1
0,0,1.6,0.2,0
6.4,364.387164848055,0,2.1,2
4.9,913.996579458498,1.5,0,0
6.7,0,5.7,0,2
5.5,1306.70820960714,1411.31150001902,0.2,0
153.488752472257,2298.16581301284,5,1.9,2
6.5,3,0,0,2
4.6,1216.42141876426,486.540987057964,0.2,0
5,3.2,0,634.945461257071,0
5.1,197.85137402605,1.7,280.284956482345,0
5.5,1412.4069509935,1.3,0,0
5.1,3.4,0,354.105454236426,0
6.9,1344.94652204595,0,2.1,2
796.683469747323,2.9,4.5,0,1
5.5,1634.45721592088,0,1.1,1
0,3.8,0,2,2
6.1,0,22.0443460436582,1.4,1
5,3.5,1814.88213090433,915.151752841074,0
1507.9829285828,733.375994537287,4.5,1.5,1
7.4,284.641382645262,6.1,1141.20626903051,2
1603.75391127757,2.8,4.6,113.939710593741,1
0,2.3,462.089425007212,0.3,0
5.7,2.8,0,0,1
6.1,292.381155294881,400.216122368463,1.8,2
2370.32474259891,3.8,0,0.2,0
6.5,0,5.5,513.815643736454,2
5,2686.32551077173,1.4,0,0
