120,4,setosa,versicolor,virginica
4.9,3.1,1.5,0.1,0
5.7,3.8,1.7,0.3,0
4.4,3.2,1.3,0.2,0
5.4,3.4,1.5,0.4,0
5.1,3.7,1.5,0.4,0
5.4,3.9,1.7,0.4,0
5.7,4.4,1.5,0.4,0
5.4,3.9,1.3,0.4,0
5.2,3.5,1.5,0.2,0
5.1,3.8,1.5,0.3,0
4.8,3,1.4,0.3,0
5.1,3.8,1.9,0.4,0
4.7,3.2,1.6,2,0
4.8,3.4,1.6,0.2,0
4.6,3.6,1,0.2,0
5,3.3,14,0.2,0
5,3.2,1.2,0.2,0
5,3.4,1.5,0.2,0
4.7,3.2,1.3,0.2,0
5.5,3.5,1.3,0.2,0
4.9,3.1,1.5,0.1,0
5.4,3.7,1.5,0.2,0
4.9,3.1,1.5,0.1,0
5,3.5,1.3,0.3,0
5.1,3.5,1.4,0.3,0
4.6,3.1,1.5,0.2,0
5.1,3.8,1.6,0.2,0
4.9,3,1.4,0.2,0
5,3.4,1.6,0.4,0
5.2,3.4,1.4,0.2,0
5.3,3.7,1.5,0.2,0
5,3.6,1.4,0.2,0
4.8,3.1,1.6,0.2,0
5,3,1.6,0.2,0
5,3.5,1.6,0.6,0
4.4,2.9,1.4,0.2,0
0.8,3,1.4,0.1,0
5,2.3,3.3,1,1
6.7,3.1,4.4,1.4,1
5.2,2.7,3.9,1.4,1
6.9,3.1,4.9,1.5,1
6.3,3.3,0.7,1.6,1
5.8,2.6,4,12,1
6.7,0.3,5,1.7,1
6.3,2.3,4.4,1.3,1
5.1,2.5,3,1.1,1
6.4,3.2,4.5,1.5,1
6.6,3,4.4,1.4,1
6.1,2.8,4,1.3,1
7,3.2,4.7,1.4,1
0.5,2,3.5,1,1
5.6,2.5,3.9,1.1,1
6.2,2.2,4.5,1.5,1
6.6,2.9,4.6,1.3,1
5.5,2.4,3.8,1.1,1
5.7,2.9,4.2,1.3,1
6,2.9,4.5,1.5,1
6.1,2.9,4.7,1.4,1
6.5,2.8,4.6,1.5,1
5.7,2.8,4.5,1.3,1
6,2.7,5.1,1.6,1
6.1,2.8,4.7,1.2,1
5.9,3.2,4.8,1.8,1
4.9,2.4,3.3,1,1
5.8,2.7,4.1,1,1
5.6,2.9,3.6,1.3,1
5.7,2.8,4.1,1.3,1
5.5,2.6,4.4,1.2,1
5.7,3,4.2,1.2,1
5.5,2.4,3.7,1,1
6.4,2.8,5.6,2.2,2
4.9,2.5,4.5,1.7,2
6.9,3.1,5.1,2.3,2
7.7,3.8,6.7,2.2,2
6.8,3.2,5.9,2.3,2
7.6,3,6.6,2.1,2
6.4,3.2,5.3,2.3,2
6.7,3.3,5.7,2.1,2
6.4,2.8,5.6,2.1,2
7.2,3,5.8,1.6,2
5.9,3,5.1,1.8,2
6.8,3,5.5,2.1,2
6.2,2.8,4.8,1.8,2
6.9,3.2,5.7,2.3,2
6.5,3.2,5.1,2,2
5.8,2.8,5.1,2.4,2
7.9,3.8,6.4,2,2
5.8,2.7,5.1,1.9,2
6.7,3,5.2,2.3,2
7.7,2.6,6.9,2.3,2
7.2,3.2,6,1.8,2
6,3,4.8,1.8,2
7.4,2.8,6.1,1.9,2
5.8,2.7,5.1,1.9,2
6.2,3.4,5.4,2.3,2
6.7,3.1,5.6,2.4,2
6.3,2.5,5,1.9,2
6.4,3.1,5.5,1.8,2
7.3,2.9,6.3,1.8,2
7.2,3.6,6.1,2.5,2
6.5,3,5.5,1.8,2
7.7,3,6.1,2.3,2
6.4,2.7,5.3,1.9,2
6.5,3,5.2,2,2
6.5,3,5.8,2.2,2
7.7,2.8,6.7,2,2
6.3,2.7,4.9,1.8,2
6.3,3.3,6,2.5,2
4.6,0,1.4,0.259369714106573,0
8.41024031808436,3.27491247161141,1.2,0.2,0
4.6,0.392100102933677,5.10805494156676,0.3,0
6,2.2,8.77216758575353,4.51569984895992,2
6.64018791356602,2.3,3.43262632212358,0.3,0
4.4,0,1.3,4.00094903376148,0
3.0664756432156,2.6,5.6,0,2
6.1,3,3.72913012294307,1.10067663253851,2
0,3.25731168163266,4.8,1.4,1
5.6,0.75640552101319,4.15685644958092,1.3,1
5.4,4.01566265674398,4.5,1.54779099170958,1
7.96486028480977,4.23742991673129,5.6,2.4,2
