SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.1,3.5,1.4,0.2,0
4.7,3.2,1.3,0.2,0
5,3.4,1.5,0.2,0
5.4,3.7,1.5,0.2,0
4.8,3,1.4,0.1,0
4.3,3,1.1,0.1,0
5.8,4,1.2,0.2,0
5.4,3.9,1.3,0.4,0
5.1,3.5,1.4,0.3,0
4.8,3.4,1.9,0.2,0
5.2,3.5,1.5,0.2,0
5.2,3.4,1.4,0.2,0
5.4,3.4,1.5,0.4,0
5.2,4.1,1.5,0.1,0
5.5,4.2,1.4,0.2,0
5,3.2,1.2,0.2,0
4.9,3.1,1.5,0.1,0
4.4,3,1.3,0.2,0
5.1,3.4,1.5,0.2,0
4.5,2.3,1.3,0.3,0
4.8,3,1.4,0.3,0
5.1,3.8,1.6,0.2,0
4.6,3.2,1.4,0.2,0
5,3.3,1.4,0.2,0
7,3.2,4.7,1.4,1
6.4,3.2,4.5,1.5,1
6.5,2.8,4.6,1.5,1
5.2,2.7,3.9,1.4,1
5,2,3.5,1,1
6.1,2.9,4.7,1.4,1
6.7,3.1,4.4,1.4,1
5.6,3,4.5,1.5,1
5.9,3.2,4.8,1.8,1
6.1,2.8,4,1.3,1
6.3,2.5,4.9,1.5,1
6.4,2.9,4.3,1.3,1
6.6,3,4.4,1.4,1
5.8,2.7,3.9,1.2,1
6,3.4,4.5,1.6,1
6.3,2.3,4.4,1.3,1
5.5,2.6,4.4,1.2,1
6.1,3,4.6,1.4,1
5.7,3,4.2,1.2,1
5.1,2.5,3,1.1,1
7.1,3,5.9,2.1,2
6.3,2.9,5.6,1.8,2
4.9,2.5,4.5,1.7,2
7.3,2.9,6.3,1.8,2
6.7,2.5,5.8,1.8,2
6.5,3.2,5.1,2,2
6.8,3,5.5,2.1,2
6.4,3.2,5.3,2.3,2
6.5,3,5.5,1.8,2
7.7,2.6,6.9,2.3,2
6,2.2,5,1.5,2
7.7,2.8,6.7,2,2
6.3,2.7,4.9,1.8,2
6.7,3.3,5.7,2.1,2
7.2,3.2,6,1.8,2
6.2,2.8,4.8,1.8,2
7.4,2.8,6.1,1.9,2
7.9,3.8,6.4,2,2
6.3,2.8,5.1,1.5,2
6.4,3.1,5.5,1.8,2
6.7,3.3,5.7,2.5,2
6.7,3,5.2,2.3,2
6.3,2.5,5,1.9,2
6.2,3.4,5.4,2.3,2
5.9,3,5.1,1.8,2
6.46140473299512,3.1,0,0.1,0
5.5,4.59624895050061,4,0.0705770946922706,1
2.61710379949703,7.05069563987689,6.7,2.2,2
5.8,0,5.1,0,2
6.1,4.60975928882103,4.07062506569434,1.2,1
8.25735912882759,2.3,5.18807900311861,1.3,1
6.3,4.53105825558875,5.6,1.55092392123672,2
4.8,3.1,3.6336347249934,0,0
10.3641323155294,3.5,1.3,1.19589928587522,0
6.5,3,8.21248068533508,3.6174151233413,2
8.98326454926616,3,6.38562113675397,1.6,2
6.9,0,5.4,0,2
1.40575544837164,3.7,0,0.4,0
4.8,3.4,5.81107143062339,0,0
5.7,0,0,2,2
6.31406219287782,3.8,1.9,4.88123567010127,0
6.7,2.55053892847573,5.06589686282433,2.4,2
6.4,2.8,4.58859436664622,9.52859049324734,2
7.14179294879412,3,4.9,0,2
6.4,2.8,9.02222324593724,0,2
5.7,1.47040088135047,0,0.3,0
