SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.1,3.5,1.4,0.2,0
4.9,3,1.4,0.2,0
4.7,3.2,1.3,0.2,0
4.6,3.1,1.5,0.2,0
5.4,3.9,1.7,0.4,0
4.6,3.4,1.4,0.3,0
5,3.4,1.5,0.2,0
4.4,2.9,1.4,0.2,0
4.9,3.1,1.5,0.1,0
5.4,3.7,1.5,0.2,0
4.8,3,1.4,0.1,0
4.3,3,1.1,0.1,0
5.8,4,1.2,0.2,0
5.1,3.5,1.4,0.3,0
4.6,3.6,1,0.2,0
5.1,3.3,1.7,0.5,0
4.8,3.4,1.9,0.2,0
5,3,1.6,0.2,0
5.2,3.5,1.5,0.2,0
5.2,3.4,1.4,0.2,0
4.7,3.2,1.6,0.2,0
4.8,3.1,1.6,0.2,0
5.2,4.1,1.5,0.1,0
5.5,4.2,1.4,0.2,0
4.9,3.1,1.5,0.1,0
5,3.2,1.2,0.2,0
5.5,3.5,1.3,0.2,0
4.9,3.1,1.5,0.1,0
5.1,3.4,1.5,0.2,0
5,3.5,1.3,0.3,0
4.5,2.3,1.3,0.3,0
5,3.5,1.6,0.6,0
5.1,3.8,1.9,0.4,0
4.8,3,1.4,0.3,0
4.6,3.2,1.4,0.2,0
5.3,3.7,1.5,0.2,0
6.4,3.2,4.5,1.5,1
6.9,3.1,4.9,1.5,1
5.5,2.3,4,1.3,1
6.5,2.8,4.6,1.5,1
5.7,2.8,4.5,1.3,1
6.3,3.3,4.7,1.6,1
4.9,2.4,3.3,1,1
6.6,2.9,4.6,1.3,1
5,2,3.5,1,1
5.9,3,4.2,1.5,1
6.1,2.9,4.7,1.4,1
5.6,2.9,3.6,1.3,1
6.7,3.1,4.4,1.4,1
5.6,3,4.5,1.5,1
5.8,2.7,4.1,1,1
5.6,2.5,3.9,1.1,1
5.9,3.2,4.8,1.8,1
6.3,2.5,4.9,1.5,1
6.4,2.9,4.3,1.3,1
6.6,3,4.4,1.4,1
6.8,2.8,4.8,1.4,1
5.7,2.6,3.5,1,1
5.5,2.4,3.8,1.1,1
5.5,2.4,3.7,1,1
6,2.7,5.1,1.6,1
6,3.4,4.5,1.6,1
6.3,2.3,4.4,1.3,1
5.6,3,4.1,1.3,1
5.5,2.5,4,1.3,1
5.5,2.6,4.4,1.2,1
5.8,2.6,4,1.2,1
5,2.3,3.3,1,1
5.7,3,4.2,1.2,1
6.2,2.9,4.3,1.3,1
6.3,3.3,6,2.5,2
5.8,2.7,5.1,1.9,2
6.3,2.9,5.6,1.8,2
6.5,3,5.8,2.2,2
7.6,3,6.6,2.1,2
4.9,2.5,4.5,1.7,2
7.2,3.6,6.1,2.5,2
6.5,3.2,5.1,2,2
6.8,3,5.5,2.1,2
5.8,2.8,5.1,2.4,2
6.4,3.2,5.3,2.3,2
6.5,3,5.5,1.8,2
7.7,3.8,6.7,2.2,2
7.7,2.6,6.9,2.3,2
7.7,2.8,6.7,2,2
6.3,2.7,4.9,1.8,2
6.7,3.3,5.7,2.1,2
6.1,3,4.9,1.8,2
6.4,2.8,5.6,2.1,2
7.4,2.8,6.1,1.9,2
7.9,3.8,6.4,2,2
6.4,2.8,5.6,2.2,2
6.3,2.8,5.1,1.5,2
6.3,3.4,5.6,2.4,2
6.4,3.1,5.5,1.8,2
6.7,3.1,5.6,2.4,2
6.7,3.3,5.7,2.5,2
6.3,2.5,5,1.9,2
6.2,3.4,5.4,2.3,2
0,2.2,5.27359091130425,1.5,1
9.81378812760058,2.6,3.34415597728748,1.4,2
6.1,18.4421189550395,4.6,2.25931133175425,1
13.0807678370399,0.775814894117365,4.2,1.3,1
4.4,3,0,0,0
6.8,10.1662441584961,5.9,10.6508816507268,2
13.22254032225,28.7549125261624,4.5,1.5,1
0,2.8,13.3037552975391,2,2
11.7996532117395,10.4936312360447,5.4,2.1,2
5.7,0,11.3095386974057,0.3,0
7.7,32.0800803072936,14.3521889422849,2.3,2
5.4,3.4,0,7.21541458163284,0
7.81984063670556,3.93479882244451,1.4,0.2,0
4.28004565033908,3.2,0,2.3,2
0,12.3422942263163,3.9,1.4,1
5.4,3.9,0,0,0
4.8,0,26.8599969211831,0.2,0
6.9,3.1,13.0141606162863,0,2
4.49715346854279,2.7,6.93689095861942,1.9,2
2.65113061035952,7.7278334594455,5,1.5,2
7.2,1.24778802101246,6,0,2
