SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.9,3,1.4,0.2,0
5,3.6,1.4,0.2,0
4.6,3.4,1.4,0.3,0
4.9,3.1,1.5,0.1,0
4.3,3,1.1,0.1,0
5.8,4,1.2,0.2,0
5.4,3.9,1.3,0.4,0
5.1,3.5,1.4,0.3,0
5.7,3.8,1.7,0.3,0
5.1,3.8,1.5,0.3,0
5,3,1.6,0.2,0
5,3.4,1.6,0.4,0
5.2,3.5,1.5,0.2,0
5.2,3.4,1.4,0.2,0
5.5,3.5,1.3,0.2,0
4.9,3.1,1.5,0.1,0
4.4,3,1.3,0.2,0
4.5,2.3,1.3,0.3,0
5,3.5,1.6,0.6,0
4.8,3,1.4,0.3,0
4.6,3.2,1.4,0.2,0
5.3,3.7,1.5,0.2,0
5,3.3,1.4,0.2,0
7,3.2,4.7,1.4,1
6.9,3.1,4.9,1.5,1
5.7,2.8,4.5,1.3,1
6.3,3.3,4.7,1.6,1
6.6,2.9,4.6,1.3,1
5,2,3.5,1,1
6,2.2,4,1,1
5.6,2.9,3.6,1.3,1
6.7,3.1,4.4,1.4,1
5.6,3,4.5,1.5,1
5.9,3.2,4.8,1.8,1
6.3,2.5,4.9,1.5,1
6.4,2.9,4.3,1.3,1
5.8,2.7,3.9,1.2,1
6,2.7,5.1,1.6,1
6,3.4,4.5,1.6,1
6.3,2.3,4.4,1.3,1
5.6,3,4.1,1.3,1
5.8,2.6,4,1.2,1
5,2.3,3.3,1,1
5.6,2.7,4.2,1.3,1
6.2,2.9,4.3,1.3,1
5.7,2.8,4.1,1.3,1
5.8,2.7,5.1,1.9,2
7.1,3,5.9,2.1,2
6.7,2.5,5.8,1.8,2
7.2,3.6,6.1,2.5,2
6.5,3.2,5.1,2,2
5.7,2.5,5,2,2
6.4,3.2,5.3,2.3,2
6.5,3,5.5,1.8,2
6.3,2.7,4.9,1.8,2
6.7,3.3,5.7,2.1,2
7.2,3.2,6,1.8,2
6.1,3,4.9,1.8,2
6,3,4.8,1.8,2
6.7,3.1,5.6,2.4,2
5.8,2.7,5.1,1.9,2
6.8,3.2,5.9,2.3,2
6.7,3.3,5.7,2.5,2
6,0.692908881810239,5,0,2
8.57668805913866,3,3.18605715935865,1.6,2
4.99423115438757,2.8,7.54021735581722,1.9,2
9.24172194168185,5.53172000155997,5.6,1.8,2
10.7247727980829,3.1,5.1,0,2
6.1,5.5298651455115,4.7,0,1
5,3.2,5.07774426849845,0.157743188511923,0
7.61325545790503,4.44923251698243,6.6,2.1,2
11.4847682847116,2.9,4.5,1.99370396292099,1
4.6,3.1,1.46939135828114,0,0
5.1,0,2.36756106347543,0.5,0
3.47020417726723,1.9175195074003,1.7,0.2,0
7.41438212661024,0,1.6,0.2,0
5.93388683885834,3.2,2.96710173684773,1.5,1
2.1061868013681,3,5.13387785632057,0.1,0
4.46738171379095,0,6.7,2.2,2
4.9,1.36140210039029,6.61679881130727,1,1
5.2,4.1,1.79037749996911,6.28321034252579,0
3.46854023839213,3.5,3.23478007598575,0.2,0
5.6,10.0370221553166,4.41838099236607,2,2
4.50053882162092,3,6.35929870201447,1.4,1
5.39522702208668,2.5,4.5,3.70754166625263,2
7.50721678963186,3,4.7977354142445,1.5,1
4.09627161384063,2.4,3.8,0,1
4.8345040576002,3.1,7.75514478493163,1.5,1
5.5,7.34361835802475,3.3716485471934,1.3,1
6.4,3.1,3.05551495557706,0,2
4.4,3.53633674477076,1.3,2.50698765032497,0
5.7,2.00381204611023,1.878939541926,1,1
4.6,3.44216484236796,1.87659480716844,0.2,0
15.0778985206988,2.8,3.12185147239713,1.5,2
5,0,1.5,1.27923188490272,0
5.77535055329842,2.50518488873019,5.6,2.4,2
5.5,1.55507324712389,7.89680217070327,1,1
1.21808312030094,3.4,1.9,5.62502369710719,0
5,4.6410997970098,4.37838992684914,0.3,0
8.53405398351646,2.9,6.3,0,2
7.9,1.90405038222289,6.4,5.32623764726758,2
4.4,4.26631775037487,1.4,0.273426557814197,0
9.15954037742765,2.9,1.32887914344313,1.3,1
4.42424416019715,3.4,5.03053981078014,0.2,0
5.1,3.8,0,5.31732965147377,0
