120,4,setosa,versicolor,virginica
4.5089,3.5478,1.5412,0.38749,0
5.3474,4.2148,1.7359,0.46158,0
4.255,3.3588,1.3161,0.36872,0
4.9711,3.9238,1.5415,0.43068,0
7.9974,6.3721,1.7149,0.70973,0
5.4795,4.3613,1.2344,0.48497,0
14.488,11.72,0.84244,1.3357,0
5.6363,4.4676,1.5073,0.49361,0
5.2058,4.1321,1.3193,0.45752,0
5.3193,4.2189,1.39,0.46657,0
4.9796,3.9329,1.5133,0.4321,0
4.8987,2.8959,13.989,0.14974,0
5.0007,3.9192,1.9098,0.42534,0
4.4468,3.4907,1.6266,0.3798,0
4.6038,3.6188,1.6213,0.3946,0
4.5574,3.6289,1.0067,0.4038,0
4.6675,3.6852,1.4345,0.40467,0
7.9104,6.3626,0.92825,0.71893,0
4.158,3.2792,1.3252,0.35945,0
4.7199,3.7204,1.5295,0.40748,0
4.4351,3.5044,1.3278,0.38529,0
5.0607,4.012,1.3452,0.44339,0
4.5089,3.5478,1.5412,0.38749,0
5.1056,4.034,1.5314,0.44348,0
4.8013,3.2041,9.0114,0.25026,0
4.7662,3.7741,1.3239,0.41633,0
4.8301,3.818,1.4274,0.42002,0
4.3343,3.4069,1.5277,0.37147,0
4.4815,3.5356,1.4125,0.38777,0
4.3789,3.4513,1.4235,0.37794,0
4.9779,3.9237,1.6147,0.42971,0
4.462,3.5172,1.4443,0.38524,0
3.8839,3.0536,1.3594,0.33308,0
4.7349,3.7251,1.6255,0.40676,0
4.8361,3.8221,1.4377,0.42035,0
5.0455,3.9855,1.5275,0.43795,0
4.8131,3.8047,1.4207,0.41858,0
4.4583,3.4993,1.6351,0.38069,0
4.5298,3.5566,1.6475,0.3871,0
4.7945,3.7742,1.6172,0.41251,0
4.1134,3.2348,1.4294,0.35298,0
4.3964,3.4641,1.4423,0.37916,0
5.28,2.331,2.7096,1.0469,1
7.0646,3.1403,3.6313,1.4611,1
5.6539,2.7502,2.943,1.476,1
7.4172,3.1572,3.8094,1.5867,1
6.8426,3.36,3.5559,1.6909,1
6.1911,2.6433,3.1754,1.2655,1
6.0389,3.0707,3.1528,1.607,1
37.789,2.313,18.096,0.65938,1
6.7567,2.3505,3.4371,1.3765,1
5.2394,2.5154,2.7061,1.1234,1
6.8526,3.2501,3.5457,1.5758,1
6.6,3,4.4,14,1
6.4293,2.8364,3.3057,1.3552,1
7.4232,3.2468,3.8078,1.4709,1
5,20,3.5,1,1
5.9942,2.5436,3.0689,1.166,1
6.7092,2.2563,3.4263,1.5853,1
7.0667,2.9516,3.6159,1.3782,1
5.876,2.4416,3.0073,1.163,1
6.1771,2.9528,3.1941,1.3799,1
5.2633,2.8185,2.7534,1.3766,1
6.6933,2.9656,3.4491,1.4994,1
6.9809,2.8532,3.5861,1.5806,1
37.5,1.981,17.906,0.21093,1
7.3061,2.856,3.7328,1.4848,1
6.2944,2.8657,3.2468,1.3996,1
6.7631,2.7844,3.4909,1.7279,1
6.7014,2.8665,3.432,1.3008,1
5.7428,3.1826,3.0315,1.7737,1
5.1962,2.4328,2.6754,1.0496,1
6.2336,2.748,3.1858,1.0726,1
5.8647,2.9293,3.0419,1.3443,1
6.1406,2.8487,3.1709,1.3738,1
6.0995,2.6663,3.136,1.3004,1
6.1781,3.0529,3.1919,1.2801,1
5.8406,2.4377,2.9819,1.0571,1
6.398,2.8032,5.6803,1.9706,2
4.899,2.5016,4.5416,1.5811,2
6.8959,3.1065,5.266,1.8255,2
7.701,3.7984,6.6595,2.3157,2
6.7981,3.2031,5.9781,2.0769,2
7.6014,2.9977,6.5424,2.2645,2
6.3965,3.2056,5.4424,1.893,2
6.6991,3.3015,5.7368,1.9947,2
6.3988,2.8019,5.6491,1.9597,2
6.1042,2.5933,5.431,1.8831,2
7.2032,2.995,5.6728,1.9636,2
5.8998,3.0003,5.1079,1.7774,2
6.7985,3.0024,5.5602,1.9279,2
6.1989,2.8017,4.8423,1.6791,2
6.8975,3.2039,5.8002,2.0138,2
6.4982,3.2028,5.171,1.7971,2
5.7951,2.8077,5.2955,1.8413,2
7.9017,3.7973,6.3304,2.1988,2
5.799,2.7016,5.1401,1.7854,2
6.6961,3.0061,5.355,1.857,2
6.0018,2.1972,4.929,1.7028,2
7.7006,2.599,6.874,2.3742,2
7.2022,3.1965,5.9124,2.0503,2
5.999,3.0016,4.8409,1.6831,2
7.4016,2.7974,6.0349,2.0859,2
5.799,2.7016,5.1401,1.7854,2
6.1968,3.4051,5.5301,1.9282,2
6.6965,3.1056,5.7421,1.9939,2
6.2987,2.5021,5.0532,1.7479,2
6.4009,3.0986,5.4652,1.8994,2
7.303,2.8953,6.1813,2.1393,2
7.1971,3.6047,6.218,2.1629,2
6.5008,2.9987,5.4659,1.8974,2
7.6985,3.0023,6.1596,2.1298,2
6.0992,3.0012,4.9303,1.7135,2
6.3995,2.7008,5.3199,1.8431,2
6.3193,3.3694,13.224,4.6188,2
6.4985,3.0024,5.261,1.8258,2
6.5079,2.9875,5.4838,1.9035,2
44,2.8,6.7,2,2
6.2992,2.7013,4.9321,1.7083,2
6.3,33,6,2.5,2
