120,4,setosa,versicolor,virginica
4.7521,3.2954,1.5041,0.2856,0
5.6261,3.9025,1.7017,0.33876,0
4.4663,3.0987,1.2992,0.26935,0
5.2405,3.6362,1.5025,0.31621,0
5.1796,3.5938,1.4979,0.31244,0
5.7792,4.0161,1.2015,0.35241,0
5.4758,3.7977,1.6981,0.32938,0
5.9097,4.1032,1.4957,0.3582,0
5.4731,3.8012,1.2981,0.33245,0
5.1447,3.5694,1.5018,0.31022,0
5.2222,3.6235,1.4977,0.31511,0
4.6459,3.2227,1.4028,0.27976,0
5.2291,3.6229,1.8969,0.31231,0
4.7451,3.2894,1.5873,0.28449,0
4.8302,3.3486,1.6,0.28972,0
4.7857,3.3256,0.99705,0.29181,0
5,3.3,14,0.2,0
4.8681,3.3804,1.2032,0.29531,0
4.3727,3.0334,1.301,0.26347,0
4.9637,3.4431,1.5014,0.29888,0
4.6676,3.2391,1.3012,0.28194,0
5.3446,3.7115,1.3039,0.32435,0
4.7521,3.2954,1.5041,0.2856,0
5.3725,3.7283,1.5014,0.32449,0
4.7521,3.2954,1.5041,0.2856,0
5.0134,3.4805,1.2998,0.30363,0
5.0812,3.5264,1.4004,0.30706,0
4.555,3.1579,1.5014,0.27327,0
4.6989,3.2597,1.398,0.28313,0
4.6011,3.1915,1.4005,0.27698,0
5.2187,3.6197,1.5985,0.31407,0
4.7088,3.2665,1.4043,0.28369,0
4.1164,2.8545,1.307,0.24736,0
4.9728,3.4481,1.5998,0.29865,0
5.0972,3.5376,1.4027,0.30805,0
5.3054,3.6815,1.5007,0.3203,0
5.0567,3.5093,1.3996,0.30553,0
4.6898,3.2506,1.6027,0.2809,0
4.7772,3.3116,1.6049,0.28636,0
5.028,3.4866,1.5974,0.30213,0
4.3266,2.9999,1.4018,0.25976,0
1.9541,1.3449,1.3778,0.1113,0
5.0065,2.1923,3.3606,1,1
6.7101,2.9326,4.4942,1.4,1
5.2088,2.5542,3.9821,1.4,1
6.8967,3.1548,4.8691,1.5,1
6.415,1.3858,1.7774,1.6,1
5.8,2.6,4,12,1
5.4065,2.8918,4.5609,1.5,1
6.5673,2.5089,3.7567,1.7,1
6.2748,2.7203,4.1634,1.3,1
5.123,2.1175,3.2153,1.1,1
6.4129,2.9859,4.6205,1.5,1
6.6058,2.9038,4.4541,1.4,1
6.1083,2.662,4.0777,1.3,1
7.0061,3.0984,4.7572,1.4,1
0.5,2,3.5,1,1
5.5986,2.5238,3.8866,1.1,1
6.1679,2.7341,4.1994,1.5,1
6.5961,2.9648,4.5635,1.3,1
5.4969,2.4524,3.7705,1.1,1
5.7088,2.7533,4.2825,1.3,1
6.0003,2.8949,4.5029,1.5,1
6.0949,2.9847,4.6523,1.4,1
6.4918,2.936,4.5235,1.5,1
5.6,2.7003,4.1999,1.3,1
6.7859,3.0349,4.6678,1.4,1
5.6966,2.8569,4.4679,1.3,1
5.9758,3.1021,4.8737,1.6,1
6.0904,2.9604,4.6097,1.2,1
5.9065,3.091,4.8614,1.8,1
4.9113,2.212,3.4058,1,1
5.802,2.6667,4.1187,1,1
5.6244,2.493,3.8291,1.3,1
5.7068,2.6864,4.1639,1.3,1
5.4906,2.7567,4.3118,1.2,1
5.7134,2.7776,4.3252,1.2,1
5.4994,2.4098,3.6945,1,1
6.403,2.8076,5.6489,2.0452,2
4.9011,2.5027,4.5177,1.644,2
6.9071,3.118,5.2157,1.9335,2
7.6956,3.7888,6.6282,2.4276,2
6.8026,3.2066,5.9425,2.1652,2
7.5951,2.9876,6.5204,2.3523,2
6.4061,3.2154,5.399,1.9864,2
6.7002,3.3004,5.7025,2.0921,2
6.4012,2.8031,5.6202,2.0359,2
6.0892,2.5727,5.4243,1.9567,2
7.1909,2.9769,5.6517,2.0697,2
5.8987,2.9968,5.0795,1.865,2
6.8015,3.0038,5.5242,2.0232,2
6.2005,2.8012,4.8077,1.7755,2
6.9037,3.2093,5.7601,2.1097,2
6.5019,3.2048,5.1306,1.903,2
5.8095,2.8241,5.2546,1.9101,2
7.8937,3.784,6.2969,2.3266,2
5.8008,2.702,5.1129,1.8591,2
6.7067,3.017,5.3092,1.9542,2
5.9947,2.1865,4.9133,1.7746,2
7.6973,2.5931,6.8556,2.4407,2
7.1931,3.1826,5.8881,2.1545,2
6.0004,3.0009,4.806,1.7808,2
7.3946,2.7863,6.0122,2.1781,2
5.8008,2.702,5.1129,1.8591,2
6.2054,3.4137,5.4882,2.0204,2
6.7062,3.1156,5.7002,2.0824,2
6.3014,2.5034,5.022,1.8304,2
6.3963,3.0905,5.4392,1.9928,2
7.2917,2.8789,6.1647,2.2288,2
7.2045,3.6115,6.1739,2.266,2
6.4963,2.9907,5.44,1.9901,2
7.7014,3.0035,6.1223,2.2294,2
6.0998,2.9994,4.8965,1.8112,2
6.3995,2.6987,5.2915,1.927,2
6.306,3.4153,5.6982,2.0887,2
6.5015,3.0038,5.2244,1.9228,2
6.5017,3.0043,5.8274,2.1131,2
7.6929,2.7821,6.585,2.3645,2
6.3,2.6999,4.8996,1.8014,2
6.3057,3.3143,6.0921,2.2081,2
