120,4,setosa,versicolor,virginica
4.8925,3.0942,1.5014,0.28502,0
5.6984,3.7988,1.7003,0.33847,0
4.3972,3.1978,1.3005,0.26963,0
5.4034,3.4027,1.4994,0.31555,0
5.1036,3.7027,1.4993,0.31275,0
5.7938,3.9952,1.2012,0.35235,0
5.4029,3.9022,1.6995,0.32968,0
5.7017,4.4013,1.4997,0.35906,0
5.4027,3.9021,1.2995,0.33273,0
5.1955,3.4965,1.5008,0.31001,0
5.0994,3.7995,1.5001,0.31561,0
4.8009,3.0007,1.3998,0.27913,0
5.1036,3.8027,1.8993,0.31282,0
4.7699,3.2539,1.5868,0.28439,0
4.7963,3.3972,1.6007,0.28986,0
4.5962,3.5971,1.0007,0.29258,0
5,3.3,14,0.2,0
4.9961,3.197,1.2007,0.29478,0
4.3974,2.998,1.3005,0.26337,0
4.996,3.3969,1.5008,0.29875,0
4.6967,3.1974,1.3006,0.28182,0
5.495,3.4961,1.3009,0.32373,0
4.8925,3.0942,1.5014,0.28502,0
5.3949,3.6961,1.501,0.3244,0
4.8925,3.0942,1.5014,0.28502,0
4.9998,3.4999,1.3,0.30368,0
5.0997,3.4998,1.4001,0.30698,0
4.597,3.0977,1.5006,0.2731,0
4.6007,3.4005,1.3999,0.28353,0
4.5969,3.1976,1.4006,0.277,0
5.0953,3.7964,1.6009,0.31458,0
4.8966,2.9974,1.4006,0.28293,0
4.5022,2.3017,1.2996,0.24578,0
5.0041,3.4032,1.5992,0.29853,0
5.1956,3.3966,1.4008,0.30764,0
5.2951,3.6962,1.5009,0.32034,0
4.9957,3.5967,1.4008,0.30578,0
4.7967,3.0975,1.6006,0.28046,0
4.9965,2.9973,1.6007,0.28546,0
5.0121,3.5094,1.5977,0.3022,0
4.3976,2.8981,1.4005,0.25947,0
0.79935,2.9995,1.4001,0.11602,0
5.0065,2.1923,3.3606,1,1
6.7101,2.9326,4.4942,1.4,1
5.2088,2.5542,3.9821,1.4,1
6.8967,3.1548,4.8691,1.5,1
6.415,1.3858,1.7774,1.6,1
5.8,2.6,4,12,1
5.4065,2.8918,4.5609,1.5,1
6.5673,2.5089,3.7567,1.7,1
6.2748,2.7203,4.1634,1.3,1
5.123,2.1175,3.2153,1.1,1
6.4129,2.9859,4.6205,1.5,1
6.6058,2.9038,4.4541,1.4,1
6.1083,2.662,4.0777,1.3,1
7.0061,3.0984,4.7572,1.4,1
0.5,2,3.5,1,1
5.5986,2.5238,3.8866,1.1,1
6.1679,2.7341,4.1994,1.5,1
6.5961,2.9648,4.5635,1.3,1
5.4969,2.4524,3.7705,1.1,1
5.7088,2.7533,4.2825,1.3,1
6.0003,2.8949,4.5029,1.5,1
6.0949,2.9847,4.6523,1.4,1
6.4918,2.936,4.5235,1.5,1
5.6,2.7003,4.1999,1.3,1
6.7859,3.0349,4.6678,1.4,1
5.6966,2.8569,4.4679,1.3,1
5.9758,3.1021,4.8737,1.6,1
6.0904,2.9604,4.6097,1.2,1
5.9065,3.091,4.8614,1.8,1
4.9113,2.212,3.4058,1,1
5.802,2.6667,4.1187,1,1
5.6244,2.493,3.8291,1.3,1
5.7068,2.6864,4.1639,1.3,1
5.4906,2.7567,4.3118,1.2,1
5.7134,2.7776,4.3252,1.2,1
5.4994,2.4098,3.6945,1,1
6.403,2.8076,5.6489,2.0452,2
4.9011,2.5027,4.5177,1.644,2
6.9071,3.118,5.2157,1.9335,2
7.6956,3.7888,6.6282,2.4276,2
6.8026,3.2066,5.9425,2.1652,2
7.5951,2.9876,6.5204,2.3523,2
6.4061,3.2154,5.399,1.9864,2
6.7002,3.3004,5.7025,2.0921,2
6.4012,2.8031,5.6202,2.0359,2
6.0892,2.5727,5.4243,1.9567,2
7.1909,2.9769,5.6517,2.0697,2
5.8987,2.9968,5.0795,1.865,2
6.8015,3.0038,5.5242,2.0232,2
6.2005,2.8012,4.8077,1.7755,2
6.9037,3.2093,5.7601,2.1097,2
6.5019,3.2048,5.1306,1.903,2
5.8095,2.8241,5.2546,1.9101,2
7.8937,3.784,6.2969,2.3266,2
5.8008,2.702,5.1129,1.8591,2
6.7067,3.017,5.3092,1.9542,2
5.9947,2.1865,4.9133,1.7746,2
7.6973,2.5931,6.8556,2.4407,2
7.1931,3.1826,5.8881,2.1545,2
6.0004,3.0009,4.806,1.7808,2
7.3946,2.7863,6.0122,2.1781,2
5.8008,2.702,5.1129,1.8591,2
6.2054,3.4137,5.4882,2.0204,2
6.7062,3.1156,5.7002,2.0824,2
6.3014,2.5034,5.022,1.8304,2
6.3963,3.0905,5.4392,1.9928,2
7.2917,2.8789,6.1647,2.2288,2
7.2045,3.6115,6.1739,2.266,2
6.4963,2.9907,5.44,1.9901,2
7.7014,3.0035,6.1223,2.2294,2
6.0998,2.9994,4.8965,1.8112,2
6.3995,2.6987,5.2915,1.927,2
6.306,3.4153,5.6982,2.0887,2
6.5015,3.0038,5.2244,1.9228,2
6.5017,3.0043,5.8274,2.1131,2
7.6929,2.7821,6.585,2.3645,2
6.3,2.6999,4.8996,1.8014,2
6.3057,3.3143,6.0921,2.2081,2
