120,4,setosa,versicolor,virginica
4.9157,3.1207,1.3753,0.22933,0
5.707,3.8152,1.6437,0.28079,0
4.3966,3.1905,1.3278,0.23534,0
5.399,3.4098,1.5062,0.25054,0
5.0949,3.7,1.5393,0.27293,0
5.7424,3.88,1.664,0.28565,0
5.4082,3.9247,1.6333,0.2895,0
5.6666,4.3406,1.7672,0.32062,0
5.3618,3.8342,1.6054,0.28271,0
5.1998,3.4951,1.5023,0.25727,0
5.0925,3.7868,1.5603,0.2795,0
4.8077,3.0212,1.3375,0.22195,0
5.1385,3.8844,1.5899,0.28683,0
4.727,3.25,1.3835,0.23938,0
4.82,3.435,1.4403,0.25326,0
4.5477,3.4928,1.4205,0.25801,0
4.9967,3.2902,1.4269,0.24205,0
4.9764,3.1511,1.3903,0.23154,0
4.4022,3.0027,1.2825,0.22112,0
5.0055,3.4068,1.4565,0.25086,0
4.6923,3.1821,1.3625,0.23429,0
5.4723,3.4414,1.5231,0.25283,0
4.9157,3.1207,1.3753,0.22933,0
5.3913,3.6773,1.5707,0.2708,0
4.9157,3.1207,1.3753,0.22933,0
4.9792,3.4626,1.4669,0.25512,0
5.0893,3.4824,1.4854,0.25647,0
4.6197,3.1362,1.3423,0.23092,0
4.5993,3.4025,1.4049,0.25111,0
4.6053,3.2075,1.3579,0.23634,0
5.1044,3.8023,1.5655,0.28066,0
4.9066,3.0113,1.3474,0.22106,0
4.5201,2.3495,1.1374,0.17151,0
5.0164,3.4436,1.4669,0.25363,0
5.191,3.3786,1.4727,0.24846,0
5.2927,3.6802,1.5591,0.27115,0
4.9883,3.572,1.4948,0.26339,0
4.8284,3.1532,1.3724,0.23192,0
5.0283,3.0537,1.373,0.2241,0
5.0129,3.5518,1.4929,0.26183,0
4.4166,2.9314,1.2669,0.2157,0
4.8084,3.007,1.3341,0.22087,0
5.0077,2.2672,3.3109,0.99993,1
6.7154,3.0342,4.4219,1.3999,1
5.2386,2.5345,3.9551,1.3997,1
6.8728,3.2168,4.8612,1.5002,1
6.3542,3.0677,4.7773,1.5995,1
5.7838,2.6693,3.9769,1.2001,1
5.4494,2.7881,4.5705,1.4996,1
6.6555,3.1908,4.9365,1.7004,1
6.1739,2.8409,4.2201,1.3011,1
5.163,2.2297,3.0899,1.0995,1
6.4428,3.0166,4.561,1.4996,1
6.6,3,4.4,1.4,1
6.1099,2.7575,4.0141,1.2999,1
7.0014,3.194,4.702,1.4,1
4.9343,2.2818,3.4063,1.0006,1
5.5798,2.5867,3.8712,1.1002,1
6.0519,2.835,4.2888,1.5013,1
6.5666,3.0431,4.5524,1.3003,1
5.4711,2.524,3.7588,1.1002,1
5.7353,2.7487,4.2503,1.2997,1
6.0014,2.8941,4.502,1.5,1
6.0834,2.9714,4.6763,1.4001,1
6.4514,3.0086,4.5306,1.5004,1
5.5999,2.7004,4.1999,1.3,1
6.9903,1.9838,1.0715,1.3984,1
5.7,2.8,4.5,13,1
5.9214,3.0369,4.9879,1.6007,1
6.0633,2.9576,4.6476,1.2003,1
5.9462,3.0017,4.866,1.7996,1
4.9323,2.2613,3.3461,0.99972,1
5.7971,2.7124,4.0959,1,1
5.6799,2.5574,3.714,1.2993,1
5.7219,2.706,4.1313,1.2998,1
5.4712,2.7235,4.3589,1.2002,1
5.7553,2.7631,4.2788,1.1995,1
5.4777,2.4956,3.6682,1.0002,1
6.4098,2.9079,5.6109,1.9786,2
4.9015,2.5165,4.5017,1.6662,2
6.9083,3.1907,5.1092,2.1139,2
7.6884,3.6727,6.6871,2.4612,2
6.8053,3.2579,5.9059,2.1813,2
7.5991,2.9901,6.599,2.1202,2
6.407,3.2764,5.3077,2.1432,2
6.6969,3.2658,5.6965,2.1701,2
6.4063,2.8687,5.6069,1.9591,2
6.0852,2.4374,5.5836,1.7335,2
7.1833,2.8164,5.7814,1.9767,2
5.8937,2.931,5.093,1.9415,2
6.8023,3.0254,5.5026,2.048,2
6.1973,2.7699,4.797,1.8618,2
6.9055,3.26,5.7061,2.1769,2
6.4964,3.1608,5.096,2.0804,2
5.8188,3.0065,5.1209,1.9763,2
7.8815,3.5965,6.3794,2.4175,2
5.8027,2.7294,5.103,1.8396,2
6.7101,3.1114,5.2113,2.0714,2
5.997,2.1665,4.9966,1.5686,2
7.7125,2.7376,6.9139,2.0177,2
7.1866,3.0527,5.9851,2.1021,2
5.9655,2.6211,4.7617,1.7772,2
7.3966,2.7631,6.0963,1.9758,2
5.8027,2.7294,5.103,1.8396,2
6.2036,3.4397,5.404,2.2185,2
6.7113,3.2238,5.6125,2.1461,2
6.3055,2.5609,5.0062,1.775,2
0.4,3.1,5.5,1.8,2
7.2911,2.8026,6.2901,1.9999,2
7.2045,3.649,6.105,2.3995,2
6.4921,2.9129,5.4912,1.9788,2
7.707,3.0766,6.1077,2.1429,2
6.0938,2.9314,4.8931,1.9407,2
6.4014,2.7151,5.3015,1.869,2
6.3067,3.4734,5.6074,2.2495,2
6.4997,2.9972,5.1997,2.0058,2
6.5146,3.1608,0.81626,1.8701,2
7.6987,2.7855,6.6985,2.0298,2
6.2987,2.6853,4.8985,1.8301,2
6.3113,3.424,6.0125,2.2456,2
