120,4,setosa,versicolor,virginica
4.9077,3.1029,1.4402,0.25508,0
5.7001,3.8001,1.6989,0.30272,0
4.401,3.2004,1.2919,0.22108,0
5.3935,3.3975,1.5508,0.26825,0
5.0939,3.6977,1.5477,0.27627,0
5.7958,3.9984,1.233,0.11451,0
5.3964,3.8986,1.7281,0.32715,0
5.692,4.397,1.5621,0.23916,0
5.3898,3.8961,1.3798,0.19314,0
5.2024,3.5009,1.4811,0.24888,0
5.0981,3.7993,1.5149,0.26148,0
4.7977,2.9991,1.4178,0.25382,0
5.1004,3.8002,1.8967,0.40865,0
4.7054,3.202,1.5581,0.30871,0
4.805,3.4019,1.561,0.30117,0
4.5953,3.5982,1.0365,0.10551,0
5.0013,3.3005,1.3895,0.22721,0
4.9981,3.1993,1.2147,0.16183,0
4.4012,3.0005,1.2906,0.22433,0
5.0029,3.4011,1.4772,0.25909,0
4.7004,3.2002,1.2968,0.20821,0
5.4985,3.4994,1.312,0.169,0
4.9077,3.1029,1.4402,0.25508,0
5.4018,3.7007,1.4857,0.23705,0
4.9077,3.1029,1.4402,0.25508,0
4.9952,3.4982,1.3372,0.20363,0
5.0967,3.4987,1.4259,0.23284,0
4.604,3.1015,1.4687,0.28112,0
4.5978,3.3992,1.417,0.25593,0
4.6023,3.2009,1.3823,0.246,0
5.104,3.8015,1.5684,0.28181,0
4.9018,3.0007,1.386,0.23636,0
4.4973,2.299,1.3214,0.24455,0
4.996,3.3985,1.6313,0.31892,0
5.2008,3.4003,1.3934,0.217,0
5.302,3.7008,1.484,0.24135,0
5.0011,3.6004,1.3914,0.22234,0
4.8052,3.102,1.5591,0.30604,0
5.0049,3.0018,1.5618,0.29907,0
4.9873,3.4952,1.6989,0.34364,0
4.4029,2.9011,1.3771,0.25945,0
4.8063,3.0024,1.3508,0.22749,0
5.0077,2.2672,3.3109,0.99993,1
6.7154,3.0342,4.4219,1.3999,1
5.2386,2.5345,3.9551,1.3997,1
6.8728,3.2168,4.8612,1.5002,1
6.3542,3.0677,4.7773,1.5995,1
5.7838,2.6693,3.9769,1.2001,1
5.4494,2.7881,4.5705,1.4996,1
6.6555,3.1908,4.9365,1.7004,1
6.1739,2.8409,4.2201,1.3011,1
5.163,2.2297,3.0899,1.0995,1
6.4428,3.0166,4.561,1.4996,1
6.6,3,4.4,1.4,1
6.1099,2.7575,4.0141,1.2999,1
7.0014,3.194,4.702,1.4,1
4.9343,2.2818,3.4063,1.0006,1
5.5798,2.5867,3.8712,1.1002,1
6.0519,2.835,4.2888,1.5013,1
6.5666,3.0431,4.5524,1.3003,1
5.4711,2.524,3.7588,1.1002,1
5.7353,2.7487,4.2503,1.2997,1
6.0014,2.8941,4.502,1.5,1
6.0834,2.9714,4.6763,1.4001,1
6.4514,3.0086,4.5306,1.5004,1
5.5999,2.7004,4.1999,1.3,1
6.9903,1.9838,1.0715,1.3984,1
5.7,2.8,4.5,13,1
5.9214,3.0369,4.9879,1.6007,1
6.0633,2.9576,4.6476,1.2003,1
5.9462,3.0017,4.866,1.7996,1
4.9323,2.2613,3.3461,0.99972,1
5.7971,2.7124,4.0959,1,1
5.6799,2.5574,3.714,1.2993,1
5.7219,2.706,4.1313,1.2998,1
5.4712,2.7235,4.3589,1.2002,1
5.7553,2.7631,4.2788,1.1995,1
5.4777,2.4956,3.6682,1.0002,1
6.4098,2.9079,5.6109,1.9786,2
4.9015,2.5165,4.5017,1.6662,2
6.9083,3.1907,5.1092,2.1139,2
7.6884,3.6727,6.6871,2.4612,2
6.8053,3.2579,5.9059,2.1813,2
7.5991,2.9901,6.599,2.1202,2
6.407,3.2764,5.3077,2.1432,2
6.6969,3.2658,5.6965,2.1701,2
6.4063,2.8687,5.6069,1.9591,2
6.0852,2.4374,5.5836,1.7335,2
7.1833,2.8164,5.7814,1.9767,2
5.8937,2.931,5.093,1.9415,2
6.8023,3.0254,5.5026,2.048,2
6.1973,2.7699,4.797,1.8618,2
6.9055,3.26,5.7061,2.1769,2
6.4964,3.1608,5.096,2.0804,2
5.8188,3.0065,5.1209,1.9763,2
7.8815,3.5965,6.3794,2.4175,2
5.8027,2.7294,5.103,1.8396,2
6.7101,3.1114,5.2113,2.0714,2
5.997,2.1665,4.9966,1.5686,2
7.7125,2.7376,6.9139,2.0177,2
7.1866,3.0527,5.9851,2.1021,2
5.9655,2.6211,4.7617,1.7772,2
7.3966,2.7631,6.0963,1.9758,2
5.8027,2.7294,5.103,1.8396,2
6.2036,3.4397,5.404,2.2185,2
6.7113,3.2238,5.6125,2.1461,2
6.3055,2.5609,5.0062,1.775,2
0.4,3.1,5.5,1.8,2
7.2911,2.8026,6.2901,1.9999,2
7.2045,3.649,6.105,2.3995,2
6.4921,2.9129,5.4912,1.9788,2
7.707,3.0766,6.1077,2.1429,2
6.0938,2.9314,4.8931,1.9407,2
6.4014,2.7151,5.3015,1.869,2
6.3067,3.4734,5.6074,2.2495,2
6.4997,2.9972,5.1997,2.0058,2
6.5146,3.1608,0.81626,1.8701,2
7.6987,2.7855,6.6985,2.0298,2
6.2987,2.6853,4.8985,1.8301,2
6.3113,3.424,6.0125,2.2456,2
