120,4,setosa,versicolor,virginica
4.9119,3.0818,1.4817,0.21469,0
5.7097,3.7978,1.676,0.27631,0
4.4246,3.1831,1.247,0.24395,0
5.3523,3.4402,1.5969,0.24414,0
5.1222,3.7014,1.4401,0.28445,0
5.6356,4.069,1.5852,0.31254,0
5.462,3.8807,1.5499,0.29509,0
5.6843,4.4127,1.5324,0.35357,0
5.321,3.9488,1.4736,0.30838,0
5.1949,3.4964,1.516,0.2565,0
5.132,3.7848,1.4264,0.29448,0
4.7804,3.0192,1.4378,0.2114,0
5.271,3.7282,1.4993,0.28269,0
4.784,3.1555,1.41,0.22822,0
4.8842,3.3532,1.4112,0.24934,0
4.5193,3.6295,1.1922,0.29615,0
4.9749,3.308,1.4605,0.24063,0
4.8966,3.2472,1.4394,0.23575,0
4.409,2.9933,1.2811,0.22091,0
5.018,3.3859,1.4626,0.24882,0
4.6783,3.2066,1.3528,0.23819,0
5.3781,3.554,1.5836,0.25738,0
4.9119,3.0818,1.4817,0.21469,0
5.3797,3.7019,1.5525,0.2757,0
4.9119,3.0818,1.4817,0.21469,0
4.9534,3.5263,1.4041,0.26848,0
5.0732,3.5172,1.4584,0.26324,0
4.6564,3.0698,1.3727,0.22195,0
4.6427,3.3831,1.2992,0.26132,0
4.629,3.1818,1.3366,0.23679,0
5.1691,3.7563,1.4488,0.28966,0
4.8669,3.0155,1.4764,0.20799,0
4.4368,2.3484,1.4322,0.13985,0
5.0494,3.3919,1.475,0.2485,0
5.1518,3.4186,1.514,0.2483,0
5.2951,3.6941,1.5172,0.27762,0
4.9984,3.5927,1.4095,0.27518,0
4.8607,3.0685,1.4622,0.21478,0
5.0219,2.9892,1.5498,0.19943,0
5.0534,3.5098,1.4513,0.26301,0
4.4364,2.8814,1.3172,0.20607,0
4.7843,2.9961,1.4445,0.20841,0
4.9109,2.2803,3.4419,0.99402,1
6.5751,3.0541,4.611,1.3914,1
5.3743,2.5006,3.7809,1.4084,1
6.8955,3.2035,4.8375,1.5011,1
6.511,3.028,4.5763,1.6098,1
5.7474,2.6693,4.0298,1.1976,1
5.8172,2.7067,4.0925,1.5227,1
6.7862,3.1564,4.7711,1.7077,1
6.1227,2.8439,4.2938,1.2961,1
4.8998,2.2767,3.4382,1.0841,1
6.4635,3.0043,4.5387,1.5014,1
6.4887,3.0143,4.5513,1.3931,1
5.9772,2.7768,4.1929,1.2918,1
6.9025,3.2051,4.8376,1.3938,1
4.9108,2.2804,3.442,0.99813,1
5.5632,2.5828,3.8979,1.0988,1
6.0726,2.8241,4.2682,1.5004,1
6.5454,3.0389,4.5863,1.2984,1
5.436,2.5241,3.8098,1.0976,1
5.8495,2.7181,4.1052,1.3071,1
6.145,2.8576,4.3186,1.5087,1
6.2881,2.9221,4.4134,1.4124,1
6.4545,3.0002,4.5324,1.4998,1
5.7358,2.6657,4.0266,1.3082,1
5.0822,2.3639,3.5733,1.2839,1
5.6824,2.826,4.5081,12.999,1
6.3333,2.9463,4.4541,1.6247,1
6.2654,2.9084,4.3887,1.2121,1
6.2834,2.9264,4.4282,1.8208,1
4.879,2.2657,3.4199,0.99681,1
5.82,2.6997,4.0713,1.0013,1
5.5452,2.5776,3.894,1.2921,1
5.7814,2.6867,4.0579,1.3037,1
5.7333,2.6631,4.0208,1.2158,1
5.879,2.7302,4.1212,1.2078,1
5.3974,2.5047,3.7786,0.99486,1
6.396,2.9834,5.5767,2.0047,2
4.9378,2.3842,4.5568,1.5938,2
6.9675,2.9661,5.194,2.0224,2
7.7045,3.5964,6.7259,2.4164,2
6.8288,3.1796,5.9364,2.1372,2
7.4813,3.454,6.4125,2.3247,2
6.4924,2.9556,5.4349,1.9936,2
6.7371,3.1069,5.7638,2.0914,2
6.3827,2.976,5.5616,1.9999,2
5.9739,2.8558,5.4237,1.9119,2
7.0933,3.1391,5.6586,2.1269,2
5.9346,2.7651,5.165,1.8584,2
6.8011,3.0332,5.498,2.0525,2
6.2115,2.7063,4.8232,1.8383,2
6.9386,3.1405,5.7521,2.1202,2
6.5625,2.8946,5.2053,1.9622,2
5.8885,2.7706,5.2086,1.8593,2
7.8903,3.5309,6.4156,2.3881,2
5.8069,2.7224,5.106,1.828,2
6.7546,2.9511,5.2701,2.0036,2
5.8751,2.6386,4.8067,1.7836,2
7.5198,3.519,6.5922,2.3635,2
7.1356,3.2312,5.92,2.1813,2
5.9457,2.6404,4.7714,1.788,2
7.2707,3.2499,5.9003,2.1984,2
5.8069,2.7224,5.106,1.828,2
6.3253,2.9753,5.5924,1.9968,2
6.7537,3.0786,5.6663,2.0761,2
6.2594,2.7485,4.9264,1.8645,2
0.68835,2.0452,5.9505,1.1965,2
7.1629,3.2932,6.0967,2.2179,2
7.2822,3.3559,6.2228,2.2593,2
6.476,2.9654,5.4748,1.9983,2
7.6397,3.3482,5.9929,2.2721,2
6.1396,2.7414,4.9733,1.8547,2
6.363,2.8684,5.2388,1.9377,2
6.419,3.0522,5.7771,2.045,2
6.5245,2.8986,5.2395,1.9627,2
6.8746,1.7186,1.3764,1.3083,2
7.5252,3.4659,6.4243,2.3336,2
6.284,2.7372,4.8772,1.8593,2
6.3876,3.1566,6.119,2.1029,2
