SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
5.1,3.5,1.4,0.2,0
4.7,3.2,1.3,0.2,0
4.6,3.1,1.5,0.2,0
5,3.4,1.5,0.2,0
4.4,2.9,1.4,0.2,0
4.9,3.1,1.5,0.1,0
5.4,3.7,1.5,0.2,0
4.8,3,1.4,0.1,0
5.7,4.4,1.5,0.4,0
5.1,3.5,1.4,0.3,0
5.7,3.8,1.7,0.3,0
5.4,3.4,1.7,0.2,0
4.6,3.6,1,0.2,0
5,3.4,1.6,0.4,0
5.2,3.5,1.5,0.2,0
5.2,3.4,1.4,0.2,0
4.7,3.2,1.6,0.2,0
5.4,3.4,1.5,0.4,0
5.2,4.1,1.5,0.1,0
5.5,4.2,1.4,0.2,0
5,3.2,1.2,0.2,0
5.5,3.5,1.3,0.2,0
4.4,3,1.3,0.2,0
5.1,3.4,1.5,0.2,0
5,3.5,1.3,0.3,0
4.4,3.2,1.3,0.2,0
5,3.5,1.6,0.6,0
5.1,3.8,1.9,0.4,0
4.8,3,1.4,0.3,0
5.1,3.8,1.6,0.2,0
4.6,3.2,1.4,0.2,0
5.3,3.7,1.5,0.2,0
7,3.2,4.7,1.4,1
6.4,3.2,4.5,1.5,1
6.9,3.1,4.9,1.5,1
5.5,2.3,4,1.3,1
6.5,2.8,4.6,1.5,1
5.7,2.8,4.5,1.3,1
6.3,3.3,4.7,1.6,1
5.2,2.7,3.9,1.4,1
5.9,3,4.2,1.5,1
6,2.2,4,1,1
5.6,2.9,3.6,1.3,1
5.6,3,4.5,1.5,1
5.8,2.7,4.1,1,1
6.2,2.2,4.5,1.5,1
5.6,2.5,3.9,1.1,1
5.9,3.2,4.8,1.8,1
6.1,2.8,4.7,1.2,1
6.4,2.9,4.3,1.3,1
6.6,3,4.4,1.4,1
6.7,3,5,1.7,1
5.5,2.4,3.8,1.1,1
5.5,2.4,3.7,1,1
6,2.7,5.1,1.6,1
5.4,3,4.5,1.5,1
6,3.4,4.5,1.6,1
6.7,3.1,4.7,1.5,1
5.6,3,4.1,1.3,1
5.5,2.5,4,1.3,1
5.5,2.6,4.4,1.2,1
6.1,3,4.6,1.4,1
5.8,2.6,4,1.2,1
5,2.3,3.3,1,1
5.7,3,4.2,1.2,1
5.7,2.9,4.2,1.3,1
6.2,2.9,4.3,1.3,1
5.7,2.8,4.1,1.3,1
6.3,3.3,6,2.5,2
7.1,3,5.9,2.1,2
7.3,2.9,6.3,1.8,2
6.7,2.5,5.8,1.8,2
6.5,3.2,5.1,2,2
6.8,3,5.5,2.1,2
5.8,2.8,5.1,2.4,2
6.4,3.2,5.3,2.3,2
6.5,3,5.5,1.8,2
7.7,3.8,6.7,2.2,2
6,2.2,5,1.5,2
6.7,3.3,5.7,2.1,2
7.2,3.2,6,1.8,2
6.4,2.8,5.6,2.1,2
7.2,3,5.8,1.6,2
7.4,2.8,6.1,1.9,2
7.9,3.8,6.4,2,2
6.4,2.8,5.6,2.2,2
6.3,2.8,5.1,1.5,2
6.1,2.6,5.6,1.4,2
6.3,3.4,5.6,2.4,2
6,3,4.8,1.8,2
6.9,3.1,5.4,2.1,2
6.9,3.1,5.1,2.3,2
5.8,2.7,5.1,1.9,2
6.3,2.5,5,1.9,2
6.2,3.4,5.4,2.3,2
5.9,3,5.1,1.8,2
5.7,36.2253549184775,6.10844669666966,1,1
0,3,0,2,2
6.7,0,4.4,0,1
6.1,2.8,0,29.4407099042065,1
0,2,1.85738592046489,1,1
4.9,42.5972693096838,4.5,1.65081723691051,2
21.2204612281851,2.8,5.28250656023973,2,2
35.0204373620132,0,1.5,0.1,0
25.6334471720793,3.6,6.1,0,2
6.3,2.9,53.6293784716661,0,2
6.8,0.12016537510204,0,1.4,1
27.4682080224842,3.9,44.0790494919266,0.4,0
26.4022705570598,56.1137829029528,3.3,1,1
4.8,3.1,0,0,0
4.8,0,1.6,59.033290819895,0
6.5,0,24.2093840349663,2.2,2
6,0,4.55347530300271,1.5,1
4.8,18.7920710630168,6.09810592340054,0.2,0
9.31227061343298,49.0792990450499,4.8,1.8,2
0,2.3,4.4,67.6982594914073,1
0,3,1.4,64.3598865094706,0
12.9346660436757,6.70573761850474,1.1,0.1,0
4.9,0,0,0.1,0
5,8.42341271302956,1.4,0,0
