SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
-1.73750414346933e-18,2.52736955785916e-18,2.14685664889201e-18,-6.87644884133459e-19,0
3.85806469658639e-18,-5.61193209412095e-18,-4.7670170323644e-18,1.52689043144735e-18,0
6.39400846976494e-18,-9.30071011336435e-18,-7.90042409278949e-18,2.53053049102978e-18,0
-5.38631140014558e-18,7.83491625792377e-18,6.65531560650891e-18,-2.13171835738134e-18,0
-7.24425898241456e-18,1.05374825667146e-17,8.95099192778807e-18,-2.8670306469879e-18,0
-2.40428045451457e-18,3.49726085669231e-18,2.97072412689e-18,-9.51532208301812e-19,0
1.00211157032008e-18,-1.45766920091962e-18,-1.23820705450377e-18,3.96601583513662e-19,0
-2.20060851390372e-18,3.20100011715695e-18,2.71906748391932e-18,-8.70925800237134e-19,0
1.57586357389845e-18,-2.29224755462025e-18,-1.94713388401788e-18,6.23673059288229e-19,0
-1.14191850785747e-18,1.66103205288032e-18,1.41095222725143e-18,-4.51932401414359e-19,0
1.01239684038337e-17,-1.47263013125753e-17,-1.25091551364847e-17,4.00672142635825e-18,0
4.31832417735432e-18,-6.28142448340887e-18,-5.33571272740268e-18,1.70904543724319e-18,0
1.20936813708566e-18,-1.75914412947075e-18,-1.49429285439072e-18,4.78626664360306e-19,0
-9.16634204409406e-18,1.3333340197342e-17,1.13259139193121e-17,-3.62772557206845e-18,0
2.9460543340415e-18,-4.28532390419994e-18,-3.64013885020456e-18,1.16594783315896e-18,0
-8.00835789356126e-18,1.16489390973273e-17,9.89511101606315e-18,-3.16943493718591e-18,0
5.86181857707535e-18,-8.52658791121618e-18,-7.24285132446652e-18,2.31990788131056e-18,0
1.6409831961261e-18,-2.38697040835046e-18,-2.02759555916163e-18,6.49445184925923e-19,0
6.80217681500223e-18,-9.8944308559087e-18,-8.40475608482159e-18,2.69206960189901e-18,0
8.60714362270415e-19,-1.25199314510461e-18,-1.06349694668782e-18,3.40641390778835e-19,0
-7.21665084352083e-18,1.0497323830949e-17,8.91687936652008e-18,-2.85610428716196e-18,0
1.83896535740403e-18,-2.67495480786612e-18,-2.27222192215427e-18,7.27799772374925e-19,0
8.29606324749283e-19,-1.20674346479095e-18,-1.02505991766705e-18,3.28329890436666e-19,0
-7.95591481291688e-20,1.15726555120234e-19,9.83031245037875e-20,-3.14867975438861e-20,0
2.06805555620311e-18,-3.00818888769546e-18,-2.55528531416769e-18,8.184658601661e-19,0
-2.70926696526285e-18,3.94089353850204e-18,3.34756485033999e-18,-1.07223546799423e-18,0
7.4041919664353e-18,-1.07701207199132e-17,-9.14860480336748e-18,2.93032666770792e-18,0
7.8027535135778e-19,-1.1349867435895e-18,-9.64106665486387e-19,3.08806373552151e-19,0
-1.92702658702207e-18,2.80304847129755e-18,2.38103020156222e-18,-7.62651403817034e-19,0
8.81848992203705e-18,-1.28273552952467e-17,-1.08961085321559e-17,3.49005756530909e-18,0
-6.94761161560261e-18,1.01059799846243e-17,8.58445503392783e-18,-2.7496277360673e-18,0
1.15856290471929e-17,-1.68524295453234e-17,-1.43151801076562e-17,4.58519686051642e-18,0
-9.75915774131365e-18,1.41956485562633e-17,1.20583958106083e-17,-3.8623418076378e-18,0
-6.85595272482564e-18,9.9726531714898e-18,8.47120149157844e-18,-2.71335227303309e-18,0
-6.47241402002252e-18,9.41475864765593e-18,7.99730183406751e-18,-2.56156073387836e-18,0
8.23217869191283e-18,-1.19745083193033e-17,-1.01716635474096e-17,3.25801557598765e-18,0
-3.35013294671135e-18,4.87309573109445e-18,4.13941757684584e-18,-1.32586836735426e-18,0
-5.54349399828036e-18,8.06355370609579e-18,6.84953011078166e-18,-2.19392586916678e-18,0
1.15353004509438e-18,2.39770763748635e-18,-7.07367346818371e-18,-1.37330133246472e-18,1
2.61507110117359e-19,5.43564164498318e-19,-1.6036131130224e-18,-3.11329613216766e-19,1
-4.24640370014983e-18,-8.8265014223073e-18,2.60397839802168e-17,5.05543126891133e-18,1
-1.25093065017962e-18,-2.60016285371754e-18,7.67095316532442e-18,1.48925876358258e-18,1
4.15353948002746e-18,8.63347545754506e-18,-2.54703222892824e-17,-4.94487449774207e-18,1
-1.75191402535521e-19,-3.64149824850912e-19,1.07430819096528e-18,2.08568981416261e-19,1
1.03949117625802e-19,2.16066841346078e-19,-6.37436466018154e-19,-1.23753570486644e-19,1
-6.11252068761301e-19,-1.27053799762837e-18,3.7483180950138e-18,7.27708206709961e-19,1
6.63914959149028e-18,1.38000217242964e-17,-4.07125731283278e-17,-7.9040446490322e-18,1
-1.10590925131293e-18,-2.29872387764551e-18,6.78165337998749e-18,1.31660779437159e-18,1
-1.07127630765357e-18,-2.22673643884947e-18,6.56927734719143e-18,1.27537655997344e-18,1
4.39698111192981e-18,9.13948903090337e-18,-2.69631543312064e-17,-5.23469678619537e-18,1
6.29468142253118e-18,1.3084016135108e-17,-3.86002264601484e-17,-7.49394818259426e-18,1
-4.3069686740697e-18,-8.952390731519e-18,2.64111803308712e-17,5.12753512068229e-18,1
-1.52931620895761e-19,-3.17881027021705e-19,9.37806825038774e-19,1.82068251837287e-19,1
6.35936857823634e-19,1.32184737402138e-18,-3.89969008415298e-18,-7.57095957688021e-19,1
1.61033858519437e-18,3.34722198271288e-18,-9.87491342191287e-18,-1.91714132993024e-18,1
-1.76208582320167e-18,-3.66264117190939e-18,1.08054573777701e-17,2.09779954948813e-18,1
3.7451774933987e-18,7.78466128199508e-18,-2.29661661448324e-17,-4.4587111223275e-18,1
6.28362233001803e-18,1.30610288963316e-17,-3.85324099263485e-17,-7.48078210465052e-18,1
3.04339357863903e-18,6.3259453521931e-18,-1.86626889364625e-17,-3.62322288399306e-18,1
-3.02511835216945e-18,-6.28795878195224e-18,1.85506216477492e-17,3.60146584960242e-18,1
2.24844835553526e-18,4.67358593517995e-18,-1.37879282336594e-17,-2.67682418482825e-18,1
-6.22334518099007e-18,-1.29357378549712e-17,3.81627785746293e-17,7.40902091435531e-18,1
-8.78082748379274e-18,-1.82516764178584e-17,5.38457638489353e-17,1.04537563931841e-17,1
3.7265012970797e-18,7.74584126274748e-18,-2.28516400300163e-17,-4.43647672505338e-18,1
5.44323319564857e-18,1.13142105498937e-17,-3.33789782077557e-17,-6.48028149096773e-18,1
