SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.7,3.2,1.3,0.2,0
3.82215620174661,4.86899156918657,0.830887004627264,-0.223428837836487,0
5,3.6,1.4,0.2,0
5.4,3.9,1.7,0.4,0
4.6,3.4,1.4,0.3,0
4.4,2.9,1.4,0.2,0
4.9,3.1,1.5,0.1,0
4.8,3.4,1.6,0.2,0
4.8,3,1.4,0.1,0
4.3,3,1.1,0.1,0
5.7,4.4,1.5,0.4,0
5.7,3.8,1.7,0.3,0
5.3942036844467,3.48237181148649,2.17369869654178,0.852978301286998,0
5.1,3.7,1.5,0.4,0
5,3,1.6,0.2,0
4.35208837690836,2.97708046410157,1.31723628549479,0.97562901658315,0
4.7,3.2,1.6,0.2,0
4.8,3.1,1.6,0.2,0
5.5,4.2,1.4,0.2,0
7.51733491205073,2.04689757080982,2.65216580794839,-0.678093515420814,0
5,3.2,1.2,0.2,0
5.5,3.5,1.3,0.2,0
4.9,3.1,1.5,0.1,0
5.1,3.4,1.5,0.2,0
4.5,2.3,1.3,0.3,0
4.4,3.2,1.3,0.2,0
6.91510229545677,2.43506990390996,3.11058239519276,0.199677299365337,0
5.70984605323831,2.03158596768894,2.06401031690744,-0.271802427219058,0
4.8,3,1.4,0.3,0
5.1,3.8,1.6,0.2,0
4.6,3.2,1.4,0.2,0
5.85095042074541,4.34775524497173,0.353492367883297,-0.863561202884666,0
5,3.3,1.4,0.2,0
6.58099807979244,2.71934658051899,5.80250820960714,2.59892920248474,1
6.9,3.1,4.9,1.5,1
5.5,2.3,4,1.3,1
6.5,2.8,4.6,1.5,1
6.3,3.3,4.7,1.6,1
4.9,2.4,3.3,1,1
5.2,2.7,3.9,1.4,1
6,2.2,4,1,1
6.7,3.1,4.4,1.4,1
5.6,3,4.5,1.5,1
5.8,2.7,4.1,1,1
7.1108965794585,1.84774781433774,4.62834026334331,0.415301547762384,1
5.9,3.2,4.8,1.8,1
6.1,2.8,4,1.3,1
6.1,2.8,4.7,1.2,1
6.4,2.9,4.3,1.3,1
6.8,2.8,4.8,1.4,1
5.7,2.6,3.5,1,1
5.26026871339867,2.2252249604559,2.35762084663886,1.32681897502142,1
5.5,2.4,3.7,1,1
6.43928933984721,2.16953150238074,3.1766657485196,3.44368447839214,1
6,3.4,4.5,1.6,1
6.7,3.1,4.7,1.5,1
6.3,2.3,4.4,1.3,1
5.84424954681335,3.83683671141768,5.50991150001902,1.44718875247226,1
6.1,3,4.6,1.4,1
5.8,2.6,4,1.2,1
5,2.3,3.3,1,1
5.6,2.7,4.2,1.3,1
6.2,2.9,4.3,1.3,1
5.79639288453972,5.33834934138902,2.43745702964192,3.59566581301284,1
5.8,2.7,5.1,1.9,2
8.31282141876426,2.10013148000047,6.09455137402605,4.02775842981169,2
6.78554098705796,3.53474546125707,5.87978495648234,1.62375245274239,2
6.5,3,5.8,2.2,2
6.88415260686618,2.61824212149109,6.89172745500239,2.88678171040289,2
6.06647500451602,2.20086947997709,4.89293456987755,1.16590141620813,2
7.01948433825852,3.328893027103,7.28769469191168,3.2089069509935,2
6.7,2.5,5.8,1.8,2
7.2,3.6,6.1,2.5,2
6.5,3.2,5.1,2,2
6.4,2.7,5.3,1.9,2
6.8,3,5.5,2.1,2
5.8,2.8,5.1,2.4,2
6.4,3.2,5.3,2.3,2
6.5,3,5.5,1.8,2
7.7,3.8,6.7,2.2,2
7.7,2.6,6.9,2.3,2
6.3,2.7,4.9,1.8,2
6.7,3.3,5.7,2.1,2
6.1,3,4.9,1.8,2
8.50662965570578,3.67072602108368,5.41287945515861,1.32553375606058,2
7.2,3,5.8,1.6,2
7.4,2.8,6.1,1.9,2
6.3,2.8,5.1,1.5,2
6.1,2.6,5.6,1.4,2
6.3,3.4,5.6,2.4,2
6.7,3.1,5.6,2.4,2
6.9,3.1,5.1,2.3,2
6.7,3.3,5.7,2.5,2
6.77818889508335,4.02601648619598,5.26745359082856,2.35122031184445,2
6.3,2.5,5,1.9,2
6.2,3.4,5.4,2.3,2
5.9,3,5.1,1.8,2
